question_type,has_solution,exam_year,semester,moed,question_number,url,data_resource,points,question_translation_latex,multiple_choice_answer,answer_translation_latex,number_of_possible_answers,topics_covered,dataset,translated_separately,question_in_hebrew,answer_in_hebrew,orig_answer_in_eng,should_translate,question_id,comments
C,True,2004,a,a,6,https://docs.google.com/document/d/1XDB0oWMfvAxlym7XTAow0iF4PbwLN3qE,TAU,7,"
Given a binary search tree that supports order statistic operations. The height of the tree in edges is \( h \) and it contains \( n \) elements. An in-order traversal is performed on the tree, but instead of printing the keys, the value of the Size field is printed.
The maximum value will necessarily be printed in the location:
\begin{enumerate}
    \item First
    \item Last
    \item One of the first \( h \) places.
    \item One of the last \( h \) places.
    \item \( n/2 \)
    \item None of the above.
\end{enumerate}
",F,"
6. The maximum Size value belongs to the root. The root can be of any statistical order, therefore it can appear anywhere in the Inorder printout.
",6,e,tested,1.0,"נתון עץ חיפוש בינארי התומך בפעולות סדר סטטיסטי (Order Statistic). גובה העץ בקשתות הוא h ויש בו n איברים. מבצעים על העץ סריקת LDR (In-order) , אלא שבמקום להדפיס את המפתחות, מדפיסים את ערך השדה Size.
הערך המקסימלי יודפס בהכרח במקום:
א. הראשון
ב. האחרון
ג. אחד מ-h המקומות הראשונים.
ד. אחד מ-h המקומות האחרונים.
ה. n/2
ו. אף אחד מהנ""ל.","ו.
הערך Size המקסימלי שייך לשורש. השורש יכול להיות כל סדר סטטיסטי, ולכן יכול להופיע בכל מקום בהדפסת Inorder",,,,
C,True,2004,a,a,7,https://docs.google.com/document/d/1XDB0oWMfvAxlym7XTAow0iF4PbwLN3qE,TAU,7,na,A,na,6,m,na,1.0,"נתון מערך ממוין שבו כל איבר מופיע n^0.5 פעמים. ניתן לבצע חיפוש איבר במערך זה בזמן W.C.  
א. θ(log(n))
ב. θ(log(n)^0.5) 
ג. θ(n^0.5)
ד. θ(n^0.5/log(n))
ה.  θ(loglog(n)) 
ו. θ(log(n)^2)",א. אם נבצע חיפוש בינארי רגיל (ונעצור אותו כשהדילוגים קטנים מ- EMBED Equation.DSMT4   זמן הריצה יהיה (W.C.)  EMBED Equation.DSMT4  ,,,,
C,True,2004,a,a,8,https://docs.google.com/document/d/1XDB0oWMfvAxlym7XTAow0iF4PbwLN3qE,TAU,7,"\noindent
Modify the QuickSort algorithm as follows: the pivot element will be selected by choosing the $n/4$ order statistic, using the Select function. The running time of the new algorithm will be:
\begin{itemize}
    \item[(a)] W.C.- $\Theta(n\log(n))$, Expected - $\Theta(n)$
    \item[(b)] W.C.- $\Theta(n^2)$, Expected - $\Theta(n^2)$ 
    \item[(c)] W.C.- $\Theta(n^2)$, Expected - $\Theta(n\log(n))$
    \item[(d)] W.C.- $\Theta(n\log(n))$, Expected - $\Theta(n\log(n))$
    \item[(e)] W.C.- $\Theta(n^{0.25}\log(n))$, Expected - $\Theta(n^{0.25}\log(n))$ 
    \item[(f)] W.C.- $\Theta(n^2\log(n))$, Expected - $\Theta(n^2\log(n))$
\end{itemize}",D,"The correct answer is D.\\

The runtime will be the same for the worst case and the average case – it will not actually be affected by the input or random choices.
The recurrence formula: \( T(n) = T\left(\frac{3n}{4}\right) + T\left(\frac{n}{4}\right) + \Theta(n) \) (rounded to integers).",6,j,tested,1.0,"נשנה את אלגוריתם QuickSort באופן הבא: בחירת איבר הציר (Pivot) תבוצע על ידי בחירת הסדר הסטטיסטי ה-n/4 , בעזרת פונקצית Select.    זמן ריצת האלגוריתם החדש יהיה:
א. W.C.- θ(nlog(n)), Expectet -θ(n)
ב. W.C.- θ(n^2), Expectet -θ(n^2) 
ג. W.C.- θ(n^2), Expectet -θ(nlog(n))
ד. W.C.- θ(nlog(n)), Expectet -θ(nlog(n))
ה. W.C.- θ(n^0.25log(n)), Expectet -θ(n^0.25log(n)) 
ו. W.C.- θ(n^2log(n)), Expectet -θ(n^2log(n))","ד. 
זמן הריצה יהיה זהה למקרה הגרוע ולמקרה הממוצע – למעשה לא יושפע מהקלט או מהגרלות.
נוסחת הנסיגה: T(n) = T(3n/4) + T(n/4) + Θ(n) (עד כדי עיגול לשלמים).",,,,
C,True,2004,a,a,9,https://docs.google.com/document/d/1XDB0oWMfvAxlym7XTAow0iF4PbwLN3qE,TAU,7,na,E,na,6,"a,c",na,1.0,"נוסחת הנסיגה של זמן הריצה של התכנית Select (מציאת סדר סטטיסטי כלשהו במערך לא ממוין) היא:
T(n) <= T(n/5) + T(7n/10 + c) + O(n) (c קבוע כלשהו).
נשנה את פעולת Select כך שבשלב הראשון החלוקה תהיה לשביעיות במקום לחמישיות. נוסחת הנסיגה המעודכנת תהיה:
א. T(n) <= T(n/7) + T(7n/10 + c) + O(n) (c' קבוע כלשהו).
ב. T(n) <= T(n/7) + T(n/2 + c) + O(n) (c' קבוע כלשהו).
ג. T(n) <= T(n/7) + T(n/10 + c) + O(n) (c' קבוע כלשהו).
ד. T(n) <= T(n/7) + T(2n/7 + c) + O(n) (c' קבוע כלשהו).
ה. T(n) <= T(n/7) + T(5n/7 + c) + O(n) (c' קבוע כלשהו).
ו. T(n) <= T(n/5) + T(7n/10 + c) + O(n) (c' קבוע כלשהו).","ה. מציאת חציון החציונים היא הפעלה רקורסיבית על מערך בגודל בערך n/7. יש בערך 4n/14 איברים בהכרח קטנים ממנו וכנ""ל גדולים (חצי מארבע שורותבגודל n/7 כל אחת) לכן הרקורסיה השניה פועלת על מערך בגודל בערך 5n/7",,,,
C,True,2004,a,a,10,https://docs.google.com/document/d/1XDB0oWMfvAxlym7XTAow0iF4PbwLN3qE,TAU,3,"
The same data as in the previous question. What is the W.C. runtime of the new program? 

a. \(\theta(\log(n))\)

b. \(\theta(n)\)

c. \(\theta(n\log(n))\)

d. \(\theta(n^2)\)

e. None of the above
",B,"
b. Proof by induction.
",5,"a,c",untested,1.0,"אותם נתונים כמו בשאלה הקודמת. מה זמן הריצה W.C. של התכנית החדשה?
א. θ(log(n))
ב. θ(n) 
ג. θ(nlog(n))
ד. θ(n^2)
ה. אף אחד מהנ""ל",ב. הוכחה באינדוקציה.,,,,
A,True,2004,a,a,11,https://docs.google.com/document/d/1XDB0oWMfvAxlym7XTAow0iF4PbwLN3qE,TAU,15,na,na,na,na,na,na,1.0,"רוצים להוסיף לעץ 2-3 רגיל (התומך בפעולות insert, delete, find) את הפעולה הבאה:
Change-Key(p,new-val). הפעולה מקבלת מצביע p לאיבר (עלה)  בעץ, וצריכה לעדכן את הערך השמור באיבר עליו מצביע p לערך new-val. שימו לב כי הפעולה מקבלת מצביע  לאיבר עליו יש לבצע את הפעולה. בסיום הפעולה, העץ צריך להיות עץ 2-3 חוקי.
הוכיחו חסמים עליונים ותחתונים הדוקים (כלומר זהים) לביצוע הפעולה הנ""ל במודל ההשוואות.","חסם עליון: O(log n)
הוכחה: ניתן למחוק את p.key ב O(log n) ולהכניס את new-val ב O(log n). סה""כ O(log n). חסם תחתון: Ω(log n)
הוכחה: נניח כי ניתן לבצע את הפעולה ב o(log n). בהינתן n מספרים לא ממוינים נמיינם באופן הבא: 
א.  נבנה עץ 2-3 חוקי שכל עליו מכילים את הערך 0. כפי שראינו ניתן לעשות זאת ב O(n)      . 
ב.  נקצה מערך נוסף B אשר יחזיק n מצביעים לעליו של העץ. גם את מערך זה ניתן      
      לבנות ב O(n) בזמן בניית העץ. 
ג.  נעבור על מערך הקלט ועבור האיבר ונבצע ChangeKey(B[i],A[i]). כך נקבל 
     עץ 2-3 חוקי המכיל את איברי המערך וזאת בזמן o(nlong).
ד. נוציא מהעץ רשימה מקושרת המכילה את עליו ב O(n).
סה""כ קיבלנו מיון ב o(nlogn) בסתירה לחסם התחתון של מודל ההשוואות.

הערה: סטודנטים רבים טעו בכך שלא השתמשו במערך הפוינטרים B (או בפתרון שקול אחר). במצב זה לא ניתן לתת לפונקציה ChangeKey מצביע לאיברים אותם יש לשנות. טעות נפוצה נוספת היתה ביצוע סריקה של רשימת העלים וביצוע ChangeKey לפי סדר. גם זה פתרון בעייתי, כי יש יתכן מצב בו נבצע ChangeKey יותר מפעם אחת על אותו עלה וכך נאבד את אחד מהערכים המקוריים.",,,,
A,True,2004,a,a,12,https://docs.google.com/document/d/1XDB0oWMfvAxlym7XTAow0iF4PbwLN3qE,TAU,5,na,na,na,na,na,na,1.0,"נתונים n  מפתחות שונים זה מזה וממוינים.  תארו מבנה נתונים יעיל  המתחזק מפתחות אלו (הניחו שהמבנה כבר בנוי, כלומר לא חשובה עלות בנייתו) והתומך בפעולת find_delete(key)המקבלת מפתח והמחזירה  false  אם המפתח אינו במבנה. אם הוא במבנה, הפעולה מחזירה true  ומוציאה אותו מהמבנה.    עלות נדרשת: O(log n) לפעולת find_delete(key).","תאור המבנה:
עץ חיפוש מאוזן.


סבוכיות הפעולה – הסבירו: 
מציאת איבר בעץ, וכן מחיקתו עולות O(logn).",,,,
A,True,2004,a,a,13,https://docs.google.com/document/d/1XDB0oWMfvAxlym7XTAow0iF4PbwLN3qE,TAU,10,na,na,na,na,na,na,1.0,"נגדיר פרמוטציה מסדר (n,m) באופן הבא (כפי שהוגדר בתרגול):
מסדרים את המספרים 1,2,3,…,n במעגל, ומצביעים על המספר 1.
מבצעים m צעדים לאורך המספרים שנותרו על המעגל.
מדפיסים את המספר אליו הגענו, ומוחקים אותו מהמעגל. אם נותרו מספרים חוזרים לב', ולא עוצרים. מספר שנמחק, אינו נספר במניין הצעדים בשלב ב'. 
      לדוגמא: הפרמוטציה מסדר (7,3) היא 4,7,3,1,6,2,5 (ודאו כי אתם מבינים מדוע!)
תארו אלגוריתם יעיל המקבל מספר n, ומחזיר את הפרמוטציה מסדר (n,n/2).
(שימו לב, שהרעיון לא בהכרח דומה לזה שנלמד בכיתה עבור הפרמוטציה (n,17)).","זמן ריצת האלגוריתם:  O(nlogn)
תיאור האלגוריתם והוכחת נכונות:
נחזיק את המספרים 1 עד n בעץ  חיפוש בינארי עם סדר סטטיסטי. ז""א כל קודקוד בעץ ישמור בנוסף את מספר הקודקודים שמתחתיו (+1) בשדה size, כמו שראינו בכיתה.
נתחיל כשפוינטר מצביע על האיבר 1.
כשאנחנו באיבר שאינדקסו I, נקפוץ לאיבר שאינדקס שלו הוא (I+n/2) mod k בעזרת OS_Select כאשר k הוא מספר האיברים שנותרו בעץ (כלומר size של השורש).
נדפיס את האיבר שהגענו אליו, ונמחוק אותו.
נבצע את 1 ו- 2 עד שלא יותרו איברים בעץ.
לאלג' יש n איטרציות. כל איטרציה עולה O(logn), וסה""כ O(nlogn).
טעויות נפוצות:
אלג' שזמנם O(n^2) – ניתנו 2 נק'
אלג' שלא בצעו את הנדרש לא הדפיסו את הפרמוטציה – לא קיבלו הנק'
טעויות בניתוח זמן ריצה – הורדו נק' לפי הטעות.
ציון Θ(.) ללא הוכחת זמן חסם תחתון – הורדו 2 נקודות.",,,,
A,True,2004,a,a,14,https://docs.google.com/document/d/1XDB0oWMfvAxlym7XTAow0iF4PbwLN3qE,TAU,10,na,na,na,na,na,na,1.0,"תאר אלגוריתם הפותר את הבעיה הבאה: בהינתן קבוצה S של n מספרים, האלגוריתם בונה בזמן  ,W.C. O(n) מבנה נתונים התומך בפעולה find בלבד, באופן ש: זמן ה W.C של find הוא O(n), אולם על לפחות n/log n מהאיברים, זמן הריצה של find הוא O(log n). שימו לב כי המבנה אינו דינאמי, כלומר אינו צריך לתמוך ב insert ו delete.","תיאור האלגוריתם והוכחת נכונות:
לוקחים n/log n  איברים  ומכניסים לעץ חפוש מאוזן (למשל 2-3)  או למערך ממוין. עלות כוללת  היא O(n). שאר האיברים מוכנסים לרשימה.

בעת בצוע find  מחפשים קודם בעץ ואחר כך ברשימה. עלות חפוש על כל אבר בעץ היא O(log n). שאר האיברים – O(n).",,,,
C,True,2004,b,"a,b",1,https://docs.google.com/document/d/1LSxoxH2sEItqkTRlrCstcMk02LN676Jz,TAU,8,"
Solve the following recurrence formula:
\[ T(n) = T(c \cdot n) + T((1-c) \cdot n) + n \]
where \( c \) is a constant, \( 0 < c < 1 \).

\begin{enumerate}
    \item \( T(n) = \theta(n) \)
    \item \( T(n) = \theta(n \log n) \)
    \item \( T(n) = \theta(n^{1.5}) \)
    \item \( T(n) = \theta(n^2) \)
\end{enumerate}
",B,\noindent Proof by induction or by recursion tree.,4,a,tested,1.0,"פתרו את נוסחת הנסיגה הבאה:
T(n) = T(c*n) + T((1-c)*n) + n כאשר נתון ש-c קבוע, 0 < c < 1 
א. T(n) = θ(n)
*ב. T(n) = θ(nlog(n)) 
ג. T(n) = θ(n^1.5)
ד. T(n) = θ(n^2)",הוכחה באינדוקציה או על ידי עץ רקורסיה.,,,,
C,True,2004,b,"a,b",2,https://docs.google.com/document/d/1LSxoxH2sEItqkTRlrCstcMk02LN676Jz,TAU,8,"What is the asymptotic relationship between the following functions:
If there are multiple correct answers, choose the tightest one.
\( f(n) = \frac{n}{\log(n)}, \quad g(n) = \frac{n^2}{(\log(n))^{2004}} \)
\begin{enumerate}
    \item \( f(n) = O(g(n)) \)
    \item \( f(n) = \Omega(g(n)) \)
    \item \( f(n) = \Theta(g(n)) \)
    \item \( f(n) = o(g(n)) \)
    \item \( f(n) = \omega(g(n)) \)
\end{enumerate}",D,"
For all \( \epsilon > 0 \), it holds that \(\log n = o(n)\).
",5,a,tested,1.0,"מהו היחס האסימפטוטי בין הפונקציות הבאות:
אם יש כמה תשובות נכונות, בחרו את ההדוקה ביותר.
f(n) = n/log(n), g(n) = n^2/(log(n))^2004
א. f(n) = O(g(n))
ב. f(n) = Ω(g(n)) 
ג. f(n) = θ(g(n))
*ד. f(n) = o(g(n)) 
ה. f(n) = w(g(n))",לכל >0 מתקיים log n = o(n).,,,,
C,True,2004,b,"a,b",3,https://docs.google.com/document/d/1LSxoxH2sEItqkTRlrCstcMk02LN676Jz,TAU,9,"We modify the MergeSort algorithm so that if the array is sorted, the algorithm returns the array and does not make two additional recursive calls. Suppose we run the new algorithm on an array where each element appears exactly \( \frac{n}{\log n} \) times (therefore it contains \(\log n\) different elements). The runtime of the algorithm in the worst case (WC) is:
a. \(\Theta(n)\)  
b. \(\Theta(n \log \log n)\)  
c. \(\Theta(n \log n)\)  
d. \(\Theta(n^2)\)",C,"\noindent For the following input, the running time will be like in the original MergeSort algorithm: An array composed of $n/\log n$ parts, each part with $\log n$ values in descending order.",4,"a,k",untested,1.0,"משנים את אלגוריתם MergeSort כך שאם המערך ממוין האלגוריתם מחזיר את המערך ולא מבצע שתי קריאות רקורסיביות נוספות. נניח מריצים את האלגוריתם החדש על מערך בו כל איבר מופיע בדיוק n/logn פעמים (לכן הוא מכיל logn איברים שונים). זמן הריצה של האלגוריתם ב WC הינו:
א. Θ(n)
ב. Θ(n log log n)
*ג. Θ(n log n)
ד. Θ(n2)","עבור הקלט הבא, זמן הריצה יהיה כמו באלגוריתם MergeSort  המקורי:
מערך המורכב מ- n/lognחלקים, בכל חלק logn ערכים בסדר יורד.",,,,
